umap_1,umap_2,OmiqFilter
-4.8509,-7.9293,NK cells
1.956,-7.8736,CD8/Temra
-10.942,-4.7418,Neutrophils
-5.104,6.366,Non-Plasmablasts
-1.5794,-6.1867,NK cells
-8.0828,2.8431,Non-Plasmablasts
-2.2754,1.4229,Plasmablasts
1.8812,-8.0138,CD8/Temra
2.5867,-5.9944,CD8/Temra
-4.3847,-7.9955,NK cells
-3.5558,-5.891,NK cells
4.9304,-0.0058163,CD4/Tem
3.4564,-7.6302,CD8/Tem
-8.2609,2.6082,Non-Plasmablasts
-3.2839,-5.5045,NK cells
-7.1892,3.3895,Non-Plasmablasts
-5.436,-2.9214,Monocytes
-6.5387,6.7693,Non-Plasmablasts
-9.0954,-5.1906,Neutrophils
-7.8487,4.2878,Non-Plasmablasts
-8.1652,2.3724,Non-Plasmablasts
-5.6382,4.4335,Non-Plasmablasts
5.0649,0.93787,CD4/Tem
-7.4768,5.4613,Non-Plasmablasts
3.5091,-8.8999,ILCs
-7.6256,2.637,Non-Plasmablasts
-10.111,-5.7222,Neutrophils
-5.9535,5.4054,Non-Plasmablasts
3.6893,-8.3416,CD8/Temra
4.5177,7.5018,CD4/Tcm
-7.2885,2.1681,Non-Plasmablasts
-6.4268,3.4523,Non-Plasmablasts
4.6343,0.04318,CD4/Tem
3.3813,1.3144,CD4/Tem
-4.6792,-7.8402,NK cells
-4.5726,2.7748,Non-Plasmablasts
4.7999,0.24003,CD4/Tem
4.7343,-8.052,CD8/Tem
-5.9912,4.1415,Non-Plasmablasts
-8.2492,5.8822,Non-Plasmablasts
-3.748,-7.609,NK cells
-3.2701,-5.5815,NK cells
-6.8696,6.955,Non-Plasmablasts
-9.3894,-6.0114,Neutrophils
4.4034,0.70505,CD4/Tem
-6.4666,2.8666,Non-Plasmablasts
-3.1685,-1.5502,Neutrophils
-2.7738,-6.2766,Immature granulocytes
4.3487,-7.0441,CD8/Tem
3.3737,0.87001,CD4/Tem
-2.3154,1.614,Plasmablasts
6.1424,6.9874,CD4/Tnaive/Tn
-0.98774,1.8261,Plasmablasts
-6.2964,3.4051,Non-Plasmablasts
-4.6606,-1.1123,Non-Plasmablasts
5.4572,-7.9783,CD8/Tem
5.3825,3.0814,CD4/Tcm
-1.3287,1.1279,Plasmablasts
9.5304,1.9675,CD4/Tcm
5.8964,6.9477,CD4/Tnaive/Tn
-4.7502,5.8489,Non-Plasmablasts
1.5656,-7.2605,CD8/Temra
1.1988,-6.6296,CD8/Tem
-5.147,-2.5139,Monocytes
-7.3399,2.8413,Non-Plasmablasts
6.2343,2.4393,CD4/Tcm
3.3663,-8.9975,CD8/Temra
6.0055,-7.5734,CD8/Tem
-10.534,-6.5901,Neutrophils
-8.1888,4.3302,Non-Plasmablasts
6.8211,6.4454,CD4/Tcm
-1.6534,1.455,Plasmablasts
3.3383,-8.367,CD8/Temra
-1.1184,1.5944,Plasmablasts
-3.3121,-7.9654,NK cells
10.133,4.7983,CD4/Tem
-4.16,-1.4848,Monocytes
3.4367,-12.526,CD8/Tnaive/Tn
-5.5686,6.4193,Non-Plasmablasts
5.0561,2.3892,CD4/Tcm
2.727,-12.34,CD8/Tnaive/Tn
7.8985,0.99902,CD4/Tem
1.6506,-6.6358,CD8/Temra
6.7162,0.099004,CD4/Tem
-3.3403,-8.8154,NK cells
-2.7222,-6.4512,Immature granulocytes
-4.1933,5.9825,Non-Plasmablasts
5.2208,1.2773,CD4/Tem
-5.1311,-2.1667,Monocytes
-7.8802,3.2961,Non-Plasmablasts
-3.0297,-1.8048,Non-Plasmablasts
-2.7071,-6.0546,NK cells
-3.3851,-5.6261,NK cells
3.9846,2.2408,CD4/Tcm
5.6574,-6.0975,CD8/Tem
4.0144,-7.4625,CD8/Tem
-2.3276,1.9141,Plasmablasts
-9.1423,-6.4103,Neutrophils
-6.5118,2.3907,Non-Plasmablasts
-7.3979,3.7101,Non-Plasmablasts
-9.2863,-5.0454,Neutrophils
-5.3615,7.3346,Non-Plasmablasts
-7.5242,5.605,Non-Plasmablasts
7.1493,0.68421,CD4/Tcm
-3.8519,-8.3899,NK cells
-10.622,-4.2737,Neutrophils
-11.055,-4.844,Neutrophils
3.8711,0.34942,CD4/Tem
-4.0821,-7.6292,NK cells
3.7694,-8.0167,CD8/Tem
6.4492,0.91847,CD4/Tcm
-1.7528,1.9472,Plasmablasts
2.9264,-11.519,CD8/Tnaive/Tn
3.2633,-6.9297,CD8/Tem
8.07,6.3109,CD4/Tcm
1.254,-6.7931,NK cells
