umap_1,umap_2,OmiqFilter
-9.9082,-4.3088,Neutrophils
5.0267,2.3968,CD4/Tcm
4.6804,-7.7308,CD8/Tem
-1.9591,1.2554,Plasmablasts
-4.6775,-2.9522,Monocytes
-6.4154,7.4433,Non-Plasmablasts
-3.3256,-7.8019,NK cells
-4.2911,6.7201,Non-Plasmablasts
-4.0072,-6.3292,NK cells
-4.2655,-8.2933,NK cells
-4.9947,7.6884,Non-Plasmablasts
4.2523,-6.4809,CD8/Tem
5.2211,-11.749,CD8/Tnaive/Tn
-5.8064,-2.7544,Monocytes
-2.3327,0.69422,Plasmablasts
-10.261,-4.8015,Neutrophils
4.7811,0.34477,CD4/Tem
-4.0464,-9.1494,NK cells
-5.8405,4.5282,Non-Plasmablasts
-4.6478,-8.4107,NK cells
-7.9325,4.0372,Non-Plasmablasts
-3.3576,-9.4277,NK cells
-6.8882,6.6695,Non-Plasmablasts
-10.764,-6.2011,Neutrophils
4.0949,2.3489,CD4/Tcm
-7.2902,6.3869,Non-Plasmablasts
-6.451,4.1869,Non-Plasmablasts
4.8885,8.8384,CD4/Tnaive/Tn
-3.9346,-7.5464,NK cells
4.4347,-6.9449,CD8/Tem
-6.2498,3.265,Non-Plasmablasts
-1.7198,2.103,Plasmablasts
5.4499,4.2389,CD4/Tcm
3.9183,-7.9409,CD8/Temra
-8.6254,5.9046,Non-Plasmablasts
-6.724,3.7174,Non-Plasmablasts
-2.7881,-9.4499,NK cells
4.8897,8.3679,CD4/Tnaive/Tn
-10.431,-4.6931,Neutrophils
3.8035,0.29441,CD4/Tem
10.145,2.175,CD4/Tcm
4.2734,-12.787,CD8/Tnaive/Tn
-2.4353,-8.6365,NK cells
2.8553,-7.8138,CD8/Temra
-4.806,6.5243,Non-Plasmablasts
-5.8474,4.9249,Non-Plasmablasts
-1.8512,1.3134,Plasmablasts
-2.533,-8.3683,NK cells
-7.9338,2.7602,Non-Plasmablasts
-3.4379,-4.1699,NK cells
7.875,0.49129,CD4/Tem
-10.145,-6.2351,Neutrophils
3.8749,1.4437,CD4/Tcm
-4.657,4.9728,Non-Plasmablasts
-2.0463,1.8707,Plasmablasts
1.5154,-6.8331,CD8/Tem
5.0808,7.0736,CD4/Tnaive/Tn
-6.2297,3.9097,Non-Plasmablasts
-4.5794,-9.2362,NK cells
-4.4269,3.2186,Non-Plasmablasts
4.3981,-7.5287,CD8/Tem
-9.1777,-6.1642,Neutrophils
4.1157,0.88467,CD4/Tcm
-6.8327,7.4969,Non-Plasmablasts
-8.2475,3.1146,Non-Plasmablasts
3.8751,-7.8544,CD8/Tem
4.9243,1.2118,CD4/Tem
-7.2455,7.425,Non-Plasmablasts
3.149,-8.3863,CD8/Temra
4.8389,5.5185,CD4/Tcm
-2.1324,1.0069,Plasmablasts
-8.644,6.806,Non-Plasmablasts
-4.4123,5.4077,Non-Plasmablasts
-4.2733,-8.3216,NK cells
-7.0806,1.9572,Non-Plasmablasts
3.5978,-6.4318,CD8/Tem
-10.472,-4.4384,Neutrophils
-6.1949,3.6075,Non-Plasmablasts
-7.3784,5.653,Non-Plasmablasts
-11.183,-4.5643,Neutrophils
-4.9369,-8.2681,NK cells
2.781,-11.084,CD8/Tnaive/Tn
-10.309,-4.7094,Neutrophils
7.3012,0.13623,CD4/Tcm
-4.9799,5.6139,Non-Plasmablasts
-4.5246,-2.1113,Monocytes
-5.5754,5.4844,Non-Plasmablasts
-10.685,-4.4434,Neutrophils
-2.4821,-8.9552,NK cells
-8.4247,4.9369,Non-Plasmablasts
-2.3461,-9.2553,NK cells
2.2609,-6.9998,CD8/Tem
-5.797,3.3873,Non-Plasmablasts
5.8042,8.2372,CD4/Tnaive/Tn
-6.2529,7.9349,Non-Plasmablasts
-6.1364,4.4426,Non-Plasmablasts
-7.1152,6.2211,Non-Plasmablasts
-3.3771,-8.6301,NK cells
-2.318,1.6968,Non-Plasmablasts
-5.4024,6.7562,Non-Plasmablasts
-4.2948,7.3639,Non-Plasmablasts
-2.2379,-6.3207,NK cells
-5.0156,-2.3406,Monocytes
-5.7592,5.828,Non-Plasmablasts
1.7252,-6.5925,CD8/Tem
-10.941,-4.4217,Neutrophils
3.9141,0.5698,CD4/Tem
-7.7704,5.3431,Non-Plasmablasts
-2.8088,-8.3635,NK cells
-7.3762,6.6617,Non-Plasmablasts
9.2428,3.1539,CD4/Tem
-7.6896,3.4854,Non-Plasmablasts
-7.4618,7.7353,Non-Plasmablasts
4.8797,4.9202,CD4/Tcm
5.1693,2.482,CD4/Tcm
-3.5587,-6.1378,NK cells
5.1943,-6.0504,CD8/Tem
6.6361,5.7354,CD4/Tcm
-3.4103,-1.8047,Monocytes
-4.4175,-1.9285,Monocytes
-1.4614,1.9249,Plasmablasts
4.7269,-6.9369,CD8/Tem
-6.5386,7.5439,Non-Plasmablasts
-7.3903,5.8323,Non-Plasmablasts
-7.9066,1.777,Non-Plasmablasts
4.5395,4.3732,CD4/Tem
4.1002,-7.888,CD8/Tem
-4.1874,3.5758,Non-Plasmablasts
-6.2079,5.7356,Non-Plasmablasts
-1.9991,2.2462,Non-Plasmablasts
-6.166,5.2526,Non-Plasmablasts
-6.5567,4.6117,Non-Plasmablasts
-3.3609,-5.5924,NK cells
3.6936,-11.91,CD8/Tnaive/Tn
8.6935,3.3428,CD4/Tcm
-1.6218,0.67481,Plasmablasts
4.2228,2.1478,CD4/Tem
-4.5091,-8.367,NK cells
-6.9414,2.3561,Non-Plasmablasts
-8.4928,7.0015,Non-Plasmablasts
-10.726,-5.5711,Neutrophils
-9.2881,-4.5749,Neutrophils
-5.8149,6.5428,Non-Plasmablasts
-6.0395,3.9451,Non-Plasmablasts
-7.1291,2.3211,Non-Plasmablasts
-5.9358,3.6746,Non-Plasmablasts
-1.3195,1.3141,Plasmablasts
-5.7191,2.8427,Non-Plasmablasts
-7.102,3.8025,Non-Plasmablasts
-2.1878,0.28691,Plasmablasts
-7.2873,6.4789,Non-Plasmablasts
-10.428,-6.6846,Neutrophils
-2.92,-5.7949,NK cells
4.8728,2.1867,CD4/Tcm
-4.0705,-6.0481,NK cells
4.1009,-7.7567,CD8/Tem
5.2727,-6.1327,CD8/Tem
-3.9107,-8.8326,NK cells
-9.6955,-5.1378,Neutrophils
-3.766,-7.6136,NK cells
-9.2082,-4.542,Neutrophils
-5.6632,5.1184,Non-Plasmablasts
-6.9341,3.7621,Non-Plasmablasts
-4.9987,5.9583,Non-Plasmablasts
4.1651,0.39447,CD4/Tem
-10.942,-5.9264,Neutrophils
-4.5241,3.7336,Non-Plasmablasts
-2.4735,0.85825,Plasmablasts
-5.6952,5.1201,Non-Plasmablasts
4.2302,1.4868,CD4/Tcm
4.5411,-7.3245,CD8/Tem
-7.3314,7.0666,Non-Plasmablasts
8.3406,6.53,CD4/Tnaive/Tn-like
-4.9097,6.1816,Non-Plasmablasts
5.6272,0.85568,CD4/Tem
-4.6198,-2.0514,Monocytes
-5.2925,-3.0033,Monocytes
-4.091,-9.0584,NK cells
-11.139,-4.779,Neutrophils
3.7217,1.1712,CD4/Tcm
-6.5686,8.1221,Non-Plasmablasts
-6.6709,7.0921,Non-Plasmablasts
-10.63,-3.3343,Neutrophils
-7.1931,6.7348,Non-Plasmablasts
8.0428,5.5404,CD4/Tcm
8.7291,0.72187,CD4/Tem
-4.3792,7.2858,Non-Plasmablasts
-3.8043,-9.3843,NK cells
6.3715,8.3493,CD4/Tnaive/Tn
-6.5047,7.1109,Non-Plasmablasts
-6.5894,3.0103,Non-Plasmablasts
-4.1821,6.3344,Non-Plasmablasts
4.0937,1.5757,CD4/Tem
-3.5633,-8.8895,NK cells
-2.4293,-9.059,NK cells
-6.3053,2.5342,Non-Plasmablasts
4.7192,2.6195,CD4/Tcm
-3.5048,-8.1183,NK cells
-3.4873,-8.8905,NK cells
6.3333,-7.8908,CD8/Tem
-7.1728,7.3308,Non-Plasmablasts
4.6266,3.4397,CD4/Tcm
10.441,2.3132,CD4/Tcm
-2.8805,-1.4516,Neutrophils
-9.3956,-4.5544,Neutrophils
-6.6631,2.8205,Non-Plasmablasts
-6.9579,5.2781,Non-Plasmablasts
4.5886,-0.042165,CD4/Tem
-4.3449,-7.7034,NK cells
-6.5106,6.3084,Non-Plasmablasts
5.0685,0.3796,CD4/Tem
3.3003,-7.0351,CD8/Tem
-3.1278,-5.4817,NK cells
-5.8226,3.9756,Non-Plasmablasts
9.1944,2.4178,CD4/Tem
-2.3413,1.6063,Plasmablasts
-11,-4.0405,Neutrophils
5.5412,-6.4827,CD8/Tem
4.341,-12.732,CD8/Tnaive/Tn
-7.0263,5.0462,Non-Plasmablasts
-4.5038,6.197,Non-Plasmablasts
-7.5685,3.4704,Non-Plasmablasts
5.2968,-10.197,CD8/Tcm
-6.1203,7.1587,Non-Plasmablasts
-4.2389,3.2296,Non-Plasmablasts
-5.3872,-2.6157,Monocytes
-5.2359,6.7776,Non-Plasmablasts
5.1316,7.7161,CD4/Tnaive/Tn
5.1958,0.046466,CD4/Tem
-3.3897,-7.5461,NK cells
4.7032,3.8471,CD4/Tcm
-7.2158,3.0838,Non-Plasmablasts
-2.1588,1.7861,Non-Plasmablasts
-10.469,-4.39,Neutrophils
-2.1822,-5.79,DCs
10.164,4.6423,CD4/Tem
4.2741,-11.022,CD8/Tcm
-3.5898,-8.0049,NK cells
-9.6009,-4.9857,Neutrophils
9.7774,1.7412,CD4/Tem
-8.2253,4.1052,Non-Plasmablasts
4.2538,-6.5146,CD8/Tem
-6.3546,4.716,Non-Plasmablasts
4.0885,1.0882,CD4/Tcm
-5.8,5.8301,Non-Plasmablasts
8.1516,1.0337,CD4/Tem
1.7253,-7.0691,CD8/Temra
6.9274,1.2016,CD4/Tcm
2.477,-7.7418,CD8/Tem
-6.8804,3.5714,Non-Plasmablasts
-7.1968,3.639,Non-Plasmablasts
-2.9626,-6.2226,NK cells
7.8631,2.3189,CD4/Tcm
-8.2887,2.8522,Non-Plasmablasts
4.7592,-10.403,CD8/Tcm
-9.4318,-5.751,Neutrophils
5.4572,0.23581,CD4/Tem
-11.006,-4.3525,Neutrophils
-7.3334,2.0972,Non-Plasmablasts
4.3192,2.3738,CD4/Tcm
-6.8876,3.8624,Non-Plasmablasts
-3.2765,-8.6787,NK cells
-9.4942,-4.9491,Neutrophils
5.5934,0.69041,CD4/Tem
-8.2738,-7.16,NK cells
7.4221,0.69513,CD4/Tem
9.5577,2.3341,CD4/Tcm
-6.489,9.1551,Non-Plasmablasts
-2.2449,-6.0102,NK cells
10.379,3.6281,CD4/Tem
-10.144,-5.4103,Neutrophils
2.6941,3.5014,Neutrophils
-2.0895,2.067,Plasmablasts
-7.4394,4.9977,Non-Plasmablasts
5.8722,-8.1703,CD8/Tcm
4.5712,1.3608,CD4/Tcm
-2.6328,-9.2405,NK cells
5.8171,7.1474,CD4/Tnaive/Tn
5.93,6.5477,CD4/Tnaive/Tn
-2.3381,0.75003,Plasmablasts
-4.0042,-8.5831,NK cells
3.3333,-12.741,CD8/Tnaive/Tn
-8.4121,6.853,Non-Plasmablasts
-5.4794,-2.8079,Monocytes
1.328,-6.5187,CD8/Tem
-4.6717,-8.6964,NK cells
-3.7956,-8.7393,NK cells
3.2116,-7.7793,CD8/Tem
-1.7209,-6.1539,NK cells
6.4046,0.12608,CD4/Tem
-2.8907,-8.8966,NK cells
8.3573,1.5114,CD4/Tem
-8.328,6.3779,Non-Plasmablasts
5.1812,-7.2529,CD8/Tem
-5.6186,6.0124,Non-Plasmablasts
-4.1308,-8.5605,NK cells
-4.7111,6.6091,Non-Plasmablasts
-1.6829,1.5791,Non-Plasmablasts
-2.5803,-6.3275,NK cells
8.4071,5.8394,CD4/Tcm
3.6846,-11.548,CD8/Tnaive/Tn
3.7884,-6.9322,CD8/Tem
-9.5517,-2.1333,Neutrophils
6.1223,6.5011,CD4/Tcm
1.78,-6.5664,CD8/Tem
-6.1709,7.0521,Non-Plasmablasts
4.2749,-7.913,CD8/Tem
-4.4758,-8.6257,NK cells
3.2662,-9.3779,CD8/Temra
-3.9895,-1.8439,Plasmablasts
-6.7507,5.9355,Non-Plasmablasts
-5.7429,5.0082,Non-Plasmablasts
-7.5877,2.2177,Non-Plasmablasts
-3.7986,-8.1094,NK cells
-7.7977,6.4389,Non-Plasmablasts
-7.051,4.9622,Non-Plasmablasts
-6.5596,3.2847,Non-Plasmablasts
-5.2218,-2.4869,Monocytes
-7.3496,4.7081,Non-Plasmablasts
-6.037,4.3431,Non-Plasmablasts
-5.689,3.8557,Non-Plasmablasts
-7.2276,2.3463,Non-Plasmablasts
-6.3684,6.4484,Non-Plasmablasts
-3.674,-9.0071,NK cells
7.7102,0.41794,CD4/Tem
-4.8485,7.2852,Non-Plasmablasts
-7.273,3.5926,Non-Plasmablasts
-8.2947,4.2889,Non-Plasmablasts
-8.6698,4.8709,Non-Plasmablasts
-5.0372,-2.7672,Monocytes
-10.475,-6.6236,Neutrophils
-3.7755,-8.2614,NK cells
6.3129,4.1683,CD4/Tcm
5.0245,1.4902,CD4/Tcm
4.2996,-8.0144,CD8/Tem
4.8386,1.6163,CD4/Tcm
4.8563,2.8689,CD4/Tcm
-4.4424,5.7413,Non-Plasmablasts
-7.8072,2.0442,Non-Plasmablasts
-3.3771,-8.2341,NK cells
6.8065,1.3998,CD4/Tcm
-4.5204,5.3188,Non-Plasmablasts
6.253,2.2826,CD4/Tcm
6.4475,3.3985,CD4/Tcm
-10.148,-6.412,Neutrophils
-5.1889,7.2843,Non-Plasmablasts
-1.6175,1.441,Plasmablasts
-7.6027,2.3789,Non-Plasmablasts
4.4566,-7.3695,CD8/Tem
5.2135,-6.3832,CD8/Tcm
-5.238,7.5058,Non-Plasmablasts
-8.0984,6.3368,Non-Plasmablasts
-6.3838,6.6709,Non-Plasmablasts
-3.2925,-9.4186,NK cells
-6.9037,2.9008,Non-Plasmablasts
4.4302,-7.5914,CD8/Tem
-7.8632,4.0194,Non-Plasmablasts
-7.88,4.4436,Non-Plasmablasts
5.7372,6.4783,CD4/Tnaive/Tn
3.4795,-11.199,CD8/Tnaive/Tn
-7.4441,4.4548,Non-Plasmablasts
-7.5814,3.5468,Non-Plasmablasts
-10.298,-4.1604,Neutrophils
9.1252,3.1435,CD4/Tcm
-3.7688,-6.6348,NK cells
-2.7394,-6.2125,NK cells
3.8769,0.95015,CD4/Tcm
-7.185,1.819,Non-Plasmablasts
2.4044,-8.1653,CD8/Temra
-6.1452,3.7286,Non-Plasmablasts
-2.0869,1.6433,Plasmablasts
-3.4707,-8.9365,NK cells
4.0221,-6.4405,CD8/Tem
6.004,7.0139,CD4/Tnaive/Tn
4.0397,-7.7349,CD8/Tem
-4.6344,-8.6619,NK cells
4.3884,2.007,CD4/Tem
2.0739,-6.7545,CD8/Tem
-8.2906,1.6189,Non-Plasmablasts
-7.5239,3.9439,Non-Plasmablasts
-7.7856,3.0239,Non-Plasmablasts
-7.8956,5.3257,Non-Plasmablasts
-6.1807,7.6631,Non-Plasmablasts
-5.4376,6.8276,Non-Plasmablasts
7.7151,0.52963,CD4/Tcm
-0.8106,1.4931,Plasmablasts
-10.918,-5.6228,Neutrophils
-7.093,7.8825,Non-Plasmablasts
-6.3011,8.0458,Non-Plasmablasts
4.7017,-7.0787,CD8/Tem
-4.6257,-8.8544,NK cells
1.4992,-8.7231,CD8/Temra
3.5355,2.677,CD4/Tcm
5.3193,1.2848,CD4/Tem
3.1441,-11.106,CD8/Tnaive/Tn
7.4322,1.6344,CD4/Tem
-5.9767,5.6407,Non-Plasmablasts
-6.2493,6.6756,Non-Plasmablasts
5.3725,8.4782,CD4/Tnaive/Tn
5.7665,-7.8856,CD8/Tem
-3.4188,-8.0228,NK cells
-4.2004,-2.0193,Monocytes
-9.9985,-3.8524,Neutrophils
-7.2247,3.9589,Non-Plasmablasts
-5.3903,5.2744,Non-Plasmablasts
6.4034,0.039692,CD4/Tem
-3.3891,-1.9394,Monocytes
-3.5495,-8.6533,NK cells
8.6986,1.9332,CD4/Tcm
4.826,0.2067,CD4/Tem
-6.7958,3.7004,Non-Plasmablasts
-7.5828,5.0222,Non-Plasmablasts
-2.8136,-5.7903,NK cells
-7.1366,6.3489,Non-Plasmablasts
5.0349,8.1096,CD4/Tnaive/Tn
-6.8749,3.295,Non-Plasmablasts
-10.83,-5.9274,Neutrophils
7.5625,1.0063,CD4/Tcm
-3.7162,-5.4283,NK cells
-4.7677,-8.7381,NK cells
4.5405,0.29981,CD4/Tem
-6.8275,5.5192,Non-Plasmablasts
8.6466,1.4917,CD4/Tcm
-3.2509,-7.5664,NK cells
-7.3482,3.4958,Non-Plasmablasts
2.8686,-8.2066,CD8/Temra
4.7403,0.68197,CD4/Tem
-6.908,6.1442,Non-Plasmablasts
-4.4138,6.0971,Non-Plasmablasts
-4.1007,5.8745,Non-Plasmablasts
-5.8393,5.7314,Non-Plasmablasts
-5.6362,4.1439,Non-Plasmablasts
-4.8253,5.5964,Non-Plasmablasts
-7.8059,4.2127,Non-Plasmablasts
-7.7291,4.7331,Non-Plasmablasts
1.5998,-8.2376,CD8/Tem
-6.2889,6.6237,Non-Plasmablasts
-9.0783,-5.5468,NK cells
-6.3283,5.6798,Non-Plasmablasts
-2.274,-8.6651,NK cells
-10.595,-4.1707,Neutrophils
3.7743,-8.2473,CD8/Tem
-4.2288,-6.885,NK cells
5.7016,-6.1879,CD8/Tem
-10.667,-3.3008,Neutrophils
-7.2072,7.521,Non-Plasmablasts
-4.1239,-8.834,NK cells
5.4914,6.5907,CD4/Tcm
8.1298,1.5477,CD4/Tem
4.74,-9.1457,CD8/Tcm
-3.4541,-7.7689,NK cells
-1.9407,-0.13865,Immature granulocytes
-10.692,-5.0284,Neutrophils
-3.9658,-1.4987,Monocytes
3.7603,-11.215,CD8/Tnaive/Tn
4.2668,3.0838,CD4/Tcm
3.6839,-7.4531,CD8/Temra
-10.528,-6.0851,Neutrophils
-6.4355,6.7725,Non-Plasmablasts
-7.7829,5.2846,Non-Plasmablasts
-3.855,-8.043,NK cells
-2.1776,0.39056,Non-Plasmablasts
3.5482,-6.8771,CD8/Temra
4.575,0.98011,CD4/Tem
1.2754,-7.5805,CD8/Temra
7.7837,6.3896,CD4/Tcm
-3.5139,-8.941,NK cells
-5.331,6.4371,Non-Plasmablasts
-7.3009,5.6722,Non-Plasmablasts
-10.789,-4.0331,Neutrophils
-10.885,-4.1938,Neutrophils
1.532,-8.3359,CD8/Temra
-7.7595,4.1016,Non-Plasmablasts
4.2799,-7.4468,CD8/Tem
8.2318,0.5051,CD4/Tem
4.7905,-11.788,CD8/Tnaive/Tn
-10.235,-6.5826,Neutrophils
4.3643,-6.9495,CD8/Tem
-6.3907,3.9638,Non-Plasmablasts
5.0092,-12.414,CD8/Tnaive/Tn
3.948,-13.078,CD8/Tnaive/Tn
-6.0605,5.3116,Non-Plasmablasts
-1.1418,-5.3409,ILCs
-3.725,-5.6369,NK cells
2.2004,-8.0926,CD8/Temra
4.5732,-7.3189,CD8/Tem
-2.8354,-7.726,NK cells
-4.9161,5.5552,Non-Plasmablasts
-2.6285,-9.0871,NK cells
-7.4621,3.6958,Non-Plasmablasts
2.7063,-8.1012,CD8/Tem
-10.057,-6.0826,Neutrophils
4.43,0.35602,CD4/Tcm
8.4986,6.1269,CD4/Tcm
-4.1174,-8.9892,NK cells
-7.0161,5.5897,DCs
-3.2519,-6.1867,NK cells
2.3863,-7.5963,CD8/Tem
-8.7176,5.7886,Non-Plasmablasts
5.9809,2.4424,CD4/Tcm
1.8671,-8.3471,CD8/Tem
-6.0053,5.7436,Non-Plasmablasts
-7.5692,7.0173,Non-Plasmablasts
6.1993,1.2567,CD4/Tcm
-1.5447,-6.0523,NK cells
6.948,0.69393,CD4/Tcm
8.0325,0.61669,CD4/Tcm
-8.956,-5.7982,Neutrophils
-3.7789,-8.1733,NK cells
2.7187,-7.9661,CD8/Temra
-3.8644,-7.6178,NK cells
-6.6388,7.5487,Non-Plasmablasts
4.2677,2.5336,CD4/Tcm
-8.2874,6.3445,Non-Plasmablasts
-7.6018,6.7195,Non-Plasmablasts
-4.2985,-7.7634,NK cells
-4.9091,6.6144,Non-Plasmablasts
-7.715,5.6163,Non-Plasmablasts
-6.6645,6.7819,Non-Plasmablasts
-6.3266,8.2199,Non-Plasmablasts
3.5304,-13.091,CD8/Tnaive/Tn
6.7409,0.90628,CD4/Tcm
-8.0605,4.7588,Non-Plasmablasts
-5.2187,-2.2806,Monocytes
-7.4941,5.6913,Non-Plasmablasts
-3.0539,-5.6449,NK cells
-6.1052,3.2962,Non-Plasmablasts
-6.9689,2.7317,Non-Plasmablasts
-6.1318,5.7042,Non-Plasmablasts
4.4994,0.96165,CD4/Tem
5.5719,8.1188,CD4/Tnaive/Tn
-2.4367,-7.4834,NK cells
-5.8251,4.8826,Non-Plasmablasts
7.1092,1.0455,CD4/Tcm
3.4026,-7.301,CD8/Tem
-2.5581,-8.877,NK cells
-6.0979,6.8562,Non-Plasmablasts
-6.8494,1.8458,Non-Plasmablasts
-10.861,-5.448,Neutrophils
1.3361,-8.5995,CD8/Temra
-10.733,-3.0488,Neutrophils
-4.3582,6.8628,Non-Plasmablasts
-6.3534,7.3569,Non-Plasmablasts
-7.4477,7.3839,Non-Plasmablasts
-6.116,5.999,Non-Plasmablasts
-4.6478,-2.722,Monocytes
-3.9366,-8.4582,NK cells
5.3188,-8.216,CD8/Tem
-1.046,1.6068,Plasmablasts
-5.9638,5.6301,Non-Plasmablasts
5.2024,0.56468,CD4/Tem
-7.2791,6.0131,Non-Plasmablasts
-6.75,7.2687,DCs
-3.6225,-5.6888,NK cells
4.6644,0.64167,CD4/Tem
7.6943,0.92649,CD4/Tcm
-7.0397,1.8844,Non-Plasmablasts
-2.9084,-9.1323,NK cells
-4.1738,-8.822,NK cells
-6.1979,3.5702,Non-Plasmablasts
-9.3742,-5.323,Eosinophils
-4.9712,4.7168,Non-Plasmablasts
5.492,3.3597,CD4/Tcm
-7.0104,5.5559,Non-Plasmablasts
-6.0169,7.8864,Non-Plasmablasts
7.4529,0.96375,CD4/Tcm
-3.0577,-6.0317,Immature granulocytes
-5.7041,4.3503,Non-Plasmablasts
-7.6025,1.6496,Non-Plasmablasts
-4.606,-2.6498,Monocytes
-5.0411,-2.648,Monocytes
-4.8472,7.4404,Non-Plasmablasts
4.9622,4.4476,CD4/Tcm
5.3365,-8.0872,CD8/Tem
4.3338,3.7186,CD4/Tcm
5.8962,1.8041,CD4/Tcm
-7.4636,2.7353,Non-Plasmablasts
-4.6664,-9.1348,NK cells
-9.5443,-6.0645,Neutrophils
-10.963,-4.1033,Neutrophils
-1.2877,1.4593,Plasmablasts
-4.21,-9.4902,NK cells
-8.2982,2.677,Non-Plasmablasts
-4.5167,-7.9383,NK cells
-5.477,5.7537,Non-Plasmablasts
-4.7687,6.1181,Non-Plasmablasts
-6.4158,6.6168,DCs
5.39,7.4534,CD4/Tnaive/Tn
2.2625,-6.9204,CD8/Temra
-5.188,5.4219,Non-Plasmablasts
5.3164,0.86185,CD4/Tem
-7.5999,3.647,Non-Plasmablasts
-3.6863,-9.0414,NK cells
-1.6872,1.7061,Plasmablasts
-7.8949,4.2071,Non-Plasmablasts
-5.1625,5.1095,Non-Plasmablasts
9.301,1.4014,CD4/Tem
-6.0737,4.1001,Non-Plasmablasts
-5.2542,5.0254,Non-Plasmablasts
9.4893,1.4051,CD4/Tem
-6.6987,4.4305,Non-Plasmablasts
-7.1209,6.236,Non-Plasmablasts
3.8636,-7.3933,CD8/Tem
-6.5534,5.6438,Non-Plasmablasts
-3.7046,-8.1585,NK cells
-6.495,3.1961,Non-Plasmablasts
-4.3219,-7.8428,NK cells
5.1005,5.756,CD4/Tcm
1.5177,-8.6195,CD8/Temra
8.6594,1.4037,CD4/Tcm
5.4196,-7.5583,CD8/Tem
-3.3027,-9.4807,NK cells
4.7857,-7.2205,CD8/Tem
-8.1188,3.3106,Non-Plasmablasts
-4.2931,-7.9771,NK cells
1.5741,-8.5253,CD8/Temra
2.3546,-8.3431,CD8/Temra
-4.0566,-9.1746,NK cells
5.0087,0.54703,CD4/Tem
-3.9912,-8.2647,NK cells
-5.6215,5.1801,Non-Plasmablasts
-5.0159,5.1456,Non-Plasmablasts
-3.9886,-5.6035,Immature granulocytes
-1.3494,-6.4347,NK cells
5.5527,-7.8091,CD8/Tem
-1.9575,-6.0438,NK cells
-10.566,-6.1197,Neutrophils
8.6613,2.126,CD4/Tem
4.4512,-9.4343,CD8/Tem
-7.2674,3.5965,Non-Plasmablasts
-4.4694,2.9552,Non-Plasmablasts
1.3349,-6.6803,CD8/Tem
7.5924,1.4032,CD4/Tcm
5.1811,6.7119,CD4/Tcm
4.9886,6.5126,CD4/Tnaive/Tn
3.5626,-8.9602,CD8/Tem
4.714,-11.743,CD8/Tnaive/Tn
-5.8876,3.7689,Non-Plasmablasts
5.7632,7.1237,CD4/Tnaive/Tn
-6.0544,7.5428,Non-Plasmablasts
-5.5115,4.1566,Non-Plasmablasts
-10.821,-4.5901,Neutrophils
1.6811,-7.1251,CD8/Temra
5.1253,-7.4413,CD8/Tem
-5.341,5.558,Non-Plasmablasts
4.6182,0.511,CD4/Tcm
-3.1717,-7.4438,NK cells
2.232,-8.0038,CD8/Temra
6.1872,2.7758,CD4/Tcm
1.2071,-6.9938,CD8/Tem
-6.9637,2.8584,Non-Plasmablasts
6.5618,0.1865,CD4/Tem
3.0039,-11.315,CD8/Tnaive/Tn
1.4234,-6.9284,CD8/Tem
-3.1319,-5.5496,NK cells
-3.8401,-9.5086,NK cells
-5.6644,7.1432,Non-Plasmablasts
-4.5712,-8.8117,NK cells
-5.9658,3.7302,Non-Plasmablasts
-9.7661,-3.8869,Neutrophils
-5.832,7.1392,Non-Plasmablasts
-4.7475,-8.6924,NK cells
-7.1395,3.1436,Non-Plasmablasts
4.4064,-7.8861,CD8/Tem
-3.0877,-8.4492,NK cells
-2.789,-9.0066,NK cells
-4.2817,5.5735,Non-Plasmablasts
4.368,-8.1643,CD8/Tem
-5.1747,8.3889,Non-Plasmablasts
4.1838,-7.7491,CD8/Tem
4.8046,3.1911,CD4/Tcm
3.5719,-11.804,CD8/Tnaive/Tn
4.7121,-12.375,CD8/Tnaive/Tn
-1.2384,1.661,Plasmablasts
-1.2656,1.2534,DCs
-4.7722,6.3944,Non-Plasmablasts
-3.5784,-7.6789,NK cells
-1.6367,1.9915,Plasmablasts
-10.376,-3.2258,Non-Plasmablasts
2.2113,-8.0888,CD8/Temra
-10.071,-4.3992,Neutrophils
1.654,-8.4473,CD8/Temra
8.4506,5.2444,CD4/Tcm
-5.6953,5.3143,Non-Plasmablasts
9.9223,3.721,CD4/Tem
-6.5637,3.8982,Non-Plasmablasts
-3.5003,-6.172,NK cells
6.7075,1.8022,CD4/Tcm
-6.6471,2.9221,Non-Plasmablasts
-7.6392,5.5756,Non-Plasmablasts
-6.7992,2.544,Non-Plasmablasts
-7.2648,3.5462,Non-Plasmablasts
7.1547,0.67473,CD4/Tcm
-7.5413,4.2253,Non-Plasmablasts
-6.2657,8.4544,Non-Plasmablasts
-8.7345,6.7651,Non-Plasmablasts
8.1547,5.0162,CD4/Tcm
-7.1282,6.6574,Non-Plasmablasts
-4.0484,-2.3442,Monocytes
-4.6192,-9.1566,NK cells
5.468,-7.1114,CD8/Tem
-11.129,-4.6611,Neutrophils
2.3133,-8.1623,CD8/Temra
-2.9503,-9.537,NK cells
1.6918,-7.937,CD8/Temra
4.6722,0.7249,CD4/Tcm
3.6407,-8.475,CD8/Tem
-6.5245,2.6123,Non-Plasmablasts
3.6464,-7.4518,CD8/Tem
4.5859,1.8493,CD4/Tcm
-8.5301,3.807,Non-Plasmablasts
4.3436,-7.4594,CD8/Tem
