gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
B9D2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
BBS9,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
BCMO1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
BGN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
BHLHE40,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C12orf47,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C12orf49,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C13orf41,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C14orf139,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C3orf52,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C4orf6,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
C5orf30,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CADM4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CAMK2A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CASK,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CATR1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CCBL1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CCDC82,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CCT8L2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CD40,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CD72,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CD8B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CDADC1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CEACAM8,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CEP112,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CHI3L1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CHN2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CHST5,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
COL3A1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CORIN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CORO1A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CORO2B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CPB1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CRISP2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CRYBA4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CRYBB2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CXorf48,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
DAZL,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
DCUN1D4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
DGKI,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
